Reporting Date,Furnace,cast,coke_rate_day,coke_rate_cum,productivity_day,productivity_cum,sinter_burden_day,sinter_burden_cum,temperature,Charge,Last-Si,Last-Mn,Last-S,PCI_day,PCI_cum,Coke_ratio_day,Coke_ratio_cum,Hot_metal_day,Hot_Metal_cum,Character Field Length = 10,PCI_day,PCI_cum,Sinter_day,sinter_cum,coke_day,coke_cum,nut_coke_day,nut_coke_cum,nut_coke_rate_day,nut_coke_rate_cum,Ironore_day,Ironore_cum,Sulpher_min,Sulpher_max,H2_top,O2,N2,SlagRate,Pellet_day,Pellet_cum,Pellet_rate_day,Pellet_rate_cum,scrap_day,scrap_cum,fuel_rate_day,fuel_rate_cum,o2_enrichment_day,o2_enrichment_cum,temp_day,temp_cum
3/30/2019,I,6,477,492,1.450,1.266,69,74,,,,,,109.62,97.06,,,2162,56636,,237,5497,2603,69224,1032,27861,,,,,1150,24950,,,,,,,,,,,,,,,,,,
3/30/2019,IV,6,498,480,1.133,1.217,75,75,,,,,,73.74,64.90,,,1641,52878,,121,3432,2439,69758,817,25402,,,,,847,23516,,,,,,,,,,,,,,,,,,
3/30/2019,TOT,24,412,423,1.839,1.730,,,,,,,,140.81,128.46,,,11789,332684,,1660,42736,,,4853,140653,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2019,V,12,376,392,2.301,2.144,78,59,,,,,,163.04,151.49,,,7986,223170,,1302,33807,10954,296935,3004,87390,,,,,6340,202809,,,,,,,,,,,,,,,,,,
7/8/2020,I,6,577,831,0.000,,73,71,,,,,,0.00,0.00,,,1008,4456,,,,1415,6742,582,3701,,,,,517,2750,,,,,,,,,,,,,,,,,,
7/8/2020,IV,,,,0.000,,,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,
7/8/2020,TOT,20,417,432,,,63,62,,,,,,124.03,128.90,,,8925,66131,,1107,8524,11731,89171,3720,28572,,,,,6799,54654,,,,,,,,,,,,,,,,,,
7/8/2020,V,14,396,403,0.000,,78,61,,,,,,139.83,138.21,,,7917,61675,,1107,8524,10316,82429,3138,24871,,,,,6282,51904,,,,,,,,,,,,,,,,,,
2/1/2021,I,7,444,444,1.664,1.664,75,75,,,,,,83.84,83.84,,,2481,2481,,208,208,2954,2954,1101,1101,,,,,976,976,,,,,,,,,,,,,,,,,,
2/1/2021,IV,3,634,634,0.774,0.774,74,74,,,,,,88.31,88.31,,,1121,1121,,99,99,1802,1802,711,711,,,,,623,623,,,,,,,,,,,,,,,,,,
2/1/2021,TOT,24,423,423,1.760,1.760,,,,,,,,129.90,129.90,,,11278,11278,,1465,1465,,,4768,4768,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021,V,14,385,385,2.212,2.212,77,61,,,,,,150.86,150.86,,,7676,7676,,1158,1158,10492,10492,2956,2956,,,,,6824,6824,,,,,,,,,,,,,,,,,,
3/1/2021,I,8,436,436,1.588,1.588,74,74,1170,130,0.760,0.030,0.057,98.82,98.82,1.50,,2368,2368,,234,234,2646,2646,1032,1032,,,,,928,928,0.032,0.080,,,,,,,,,,,,,,,,
3/1/2021,IV,7,503,503,1.300,1.300,71,71,998,124,0.760,0.030,0.039,93.52,93.52,1.11,,1882,1882,,176,176,2454,2454,946,946,,,,,1023,1023,0.029,0.041,,,,,,,,,,,,,,,,
3/1/2021,TOT,26,410,410,1.692,1.692,72,72,,351,,,,118.90,118.90,,,10841,10841,,1289,1289,13340,13340,4450,4450,,,,,5074,5074,,,,,,,,,,,,,,,,,,
3/1/2021,V,11,375,375,1.899,1.899,73,73,1180,97,0.810,0.020,0.043,133.36,133.36,1.44,,6591,6591,,879,879,8240,8240,2472,2472,,,,,3123,3123,0.028,0.043,,,,,,,,,,,,,,,,
3/2/2021,I,8,432,434,1.765,1.676,75,75,1170,146,0.830,0.040,0.044,100.72,99.82,1.54,,2631,4999,,265,499,2993,5639,1136,2168,,,,,1002,1930,0.040,0.052,,,,,,,,,,,,,,,,
3/2/2021,IV,7,546,526,1.421,1.360,71,71,998,139,0.870,0.040,0.039,98.69,96.22,1.53,,2057,3939,,203,379,2606,5060,1124,2070,,,,,1079,2102,0.037,0.047,,,,,,,,,,,,,,,,
3/2/2021,TOT,27,419,415,1.937,1.814,113,65,,399,,,,126.36,122.88,,,12417,23258,,1569,2858,15267,28607,5205,9655,,,,,10099,15173,,,,,,,,,,,,,,,,,,
3/2/2021,V,12,381,378,2.227,2.063,72,62,1171,114,0.890,0.030,0.039,142.45,138.27,1.48,,7729,14320,,1101,1980,9668,17908,2945,5417,,,,,8018,11141,0.024,0.038,,,,,,,,,,,,,,,,
3/3/2021,I,12,416,427,2.027,1.793,80,77,1160,163,0.620,0.050,0.040,100.60,100.11,1.57,,3022,8021,,304,803,3400,9039,1258,3426,,,,,836,2766,0.029,0.046,,,,,,,,,,,,,,,,
3/3/2021,IV,,,526,0.000,0.907,,71,,,,,,,96.22,,,,3939,,,379,0,5060,,2070,,,,,0,2102,,,,,,,,,,,,,,,,,,
3/3/2021,TOT,25,382,404,1.797,1.809,181,63,,286,,,,128.85,124.86,,,11517,34775,,1484,4342,13937,42544,4395,14050,,,,,9563,24736,,,,,,,,,,,,,,,,,,
3/3/2021,V,13,369,375,2.448,2.192,73,59,1181,123,0.790,0.030,0.035,138.91,138.51,1.57,,8495,22815,,1180,3160,10537,28445,3137,8554,,,,,8727,19868,0.029,0.048,,,,,,,,,,,,,,,,
3/4/2021,I,9,441,431,1.931,1.828,80,77,1170,164,0.690,0.840,0.044,105.94,101.65,1.66,,2879,10900,,305,1108,3436,12475,1271,4697,,,,,863,3629,0.029,0.044,,,,,,,,,,,,,,,,
3/4/2021,IV,7,496,516,1.278,1.000,73,71,985,117,1.080,0.060,0.025,58.89,84.28,1.20,,1851,5790,,109,488,2251,7311,919,2989,,,,,817,2919,0.025,0.046,,,,,,,,,,,,,,,,
3/4/2021,TOT,30,418,408,2.092,1.880,,,,411,,,,111.56,121.16,,,13410,48185,,1496,5838,,,5609,19659,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2021,V,14,394,380,2.501,2.269,73,58,1178,130,1.150,0.030,0.027,124.65,134.69,1.34,,8680,31495,,1082,4242,10123,38568,3419,11973,,,,,8083,27951,0.026,0.049,,,,,,,,,,,,,,,,
3/5/2021,I,11,407,426,2.131,1.888,78,78,1170,164,0.890,0.060,0.040,98.21,100.87,1.53,,3177,14077,,312,1420,3404,15879,1294,5991,,,,,946,4575,0.036,0.058,,,,,,,,,,,,,,,,
3/5/2021,IV,8,388,472,2.093,1.218,70,71,997,155,0.890,0.070,0.028,55.43,74.37,1.25,,3031,8821,,168,656,3004,10315,1177,4166,,,,,1282,4201,0.027,0.033,,,,,,,,,,,,,,,,
3/5/2021,TOT,19,398,407,0.969,1.697,,,,319,,,,77.32,116.15,,,6208,54393,,480,6318,,,2471,22130,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2021,V,,,380,0.000,1.815,,58,,,,,,,134.69,1.63,,,31495,,,4242,0,38568,,11973,,,,,0,27951,,,,,,,,,,,,,,,,,,
3/6/2021,I,10,440,428,1.899,1.890,76,77,,157,,,,102.44,101.14,,,2831,16908,,290,1710,3311,19190,1246,7237,,,,,1025,5600,,,,,,,,,,,,,,,,,,
3/6/2021,IV,7,514,482,1.828,1.320,70,71,,170,,,,77.07,74.99,,,2647,11468,,204,860,3379,13694,1360,5526,,,,,1416,5617,,,,,,,,,,,,,,,,,,
3/6/2021,TOT,27,419,409,1.933,1.737,317,63,,430,,,,99.12,112.99,,,12389,66782,,1228,7546,15687,80449,5197,27327,,,,,9722,46449,,,,,,,,,,,,,,,,,,
3/6/2021,V,10,375,379,1.992,1.845,74,57,,103,,,,106.21,129.56,,,6911,38406,,734,4976,8997,47565,2591,14564,,,,,7281,35232,,,,,,,,,,,,,,,,,,
3/28/2021,I,9,427,423,1.990,1.832,75,76,1169,171,0.740,0.060,0.032,114.26,104.56,,,2967,76482,,339,7997,3684,88560,1267,32346,,,,,1247,28427,0.032,0.053,,,,,,,,,,,,,,,,
3/28/2021,IV,8,480,472,1.669,1.545,74,73,997,156,0.840,0.040,0.029,95.16,79.37,,,2417,62654,,230,4973,3220,79340,1160,29547,,,,,1107,29060,0.027,0.034,,,,,,,,,,,,,,,,
3/28/2021,TOT,31,415,401,2.158,1.998,,,,458,,,,134.15,120.95,,,13828,358463,,1855,43357,,,5734,143717,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2021,V,14,392,373,2.433,2.257,88,68,1160,131,0.600,0.030,0.043,152.30,138.55,,,8444,219327,,1286,30387,11435,284269,3307,81824,,,,,1528,134745,0.034,0.047,,,,,,,,,,,,,,,,
3/29/2021,I,9,426,423,1.885,1.834,71,76,1168,161,0.900,0.050,0.031,122.06,105.19,1.75,,2810,79286,,343,8340,3416,91976,1197,33543,,,,,1395,29822,0.030,0.042,,,,,,,,,,,,,,,,
3/29/2021,IV,9,430,470,1.867,1.556,71,73,998,158,1.080,0.060,0.028,82.47,79.51,1.21,,2704,65353,,223,5196,3182,82522,1162,30709,,,,,1301,30361,0.028,0.049,,,,,,,,,,,,,,,,
3/29/2021,TOT,31,399,401,2.186,2.004,2117,71,,449,,,,129.58,121.28,,,14007,372457,,1815,45172,17827,469996,5594,149311,,,,,4374,196606,,,,,,,,,,,,,,,,,,
3/29/2021,V,13,381,373,2.448,2.264,87,68,1159,130,0.610,0.030,,147.06,138.87,1.54,,8493,227818,,1249,31636,11229,295498,3235,85059,,,,,1678,136423,0.029,0.045,,,,,,,,,,,,,,,,
3/30/2021,I,12,414,423,1.972,1.838,78,76,1170,164,0.600,0.040,0.054,116.67,105.60,1.23,,2940,82228,,343,8683,3785,95761,1217,34760,,,,,1072,30894,0.032,0.062,,,,,,,,,,,,,,,,
3/30/2021,IV,8,461,470,1.931,1.568,71,73,1000,176,0.500,0.030,0.051,74.39,79.31,1.63,,2796,68135,,208,5404,3616,86138,1288,31997,,,,,1382,31743,0.026,0.051,,,,,,,,,,,,,,,,
3/30/2021,TOT,34,407,401,2.177,2.010,72,69,,468,,,,124.78,121.40,,,13952,386430,,1741,46913,17810,487806,5682,154993,,,,,6806,221416,,,,,,,,,,,,,,,,,,
3/30/2021,V,14,387,374,2.368,2.268,85,66,1160,128,0.890,0.030,0.030,144.84,139.05,1.62,,8216,236067,,1190,32826,10409,305907,3177,88236,,,,,4352,158779,0.021,0.039,,,,,,,,,,,,,,,,
3/31/2021,I,9,391,422,2.076,1.846,82,76,1170,161,0.930,0.050,0.037,107.88,105.68,1.81,,3096,85324,,334,9017,3507,99268,1211,35971,,,,,756,31650,0.037,0.060,,,,,,,,,,,,,,,,
3/31/2021,IV,7,568,472,1.414,1.564,74,73,999,138,1.040,0.070,0.031,61.04,78.78,1.31,,2048,70183,,125,5529,2756,88894,1163,33160,,,,,986,32729,0.031,0.045,,,,,,,,,,,,,,,,
3/31/2021,TOT,31,390,401,2.226,2.017,83,71,,430,,,,116.41,121.22,,,14268,400698,,1661,48574,17255,505111,5569,160562,,,,,3472,204489,,,,,,,,,,,,,,,,,,
3/31/2021,V,15,350,373,2.629,2.279,86,66,1160,131,0.530,0.020,0.059,131.74,138.78,1.57,,9124,245191,,1202,34028,10992,316899,3195,91431,,,,,6869,165648,0.037,0.059,,,,,,,,,,,,,,,,
4/1/2021,I,11,410,410,2.076,2.076,80,80,1170,172,0.790,0.050,0.040,112.73,112.73,1.75,,3096,3096,,349,349,3489,3489,1268,1268,,,,,854,854,0.040,0.055,,,,,,,,,,,,,,,,
4/1/2021,IV,5,472,472,0.958,0.958,74,74,999,184,1.120,0.050,0.030,69.21,69.21,,,1387,1387,,96,96,1628,1628,654,654,,,,,581,581,0.028,0.055,,,,,,,,,,,,,,,,
4/1/2021,TOT,29,422,422,1.954,1.954,73,73,,486,,,,123.68,123.68,,,12524,12524,,1549,1549,15334,15334,5283,5283,,,,,5549,5549,,,,,,,,,,,,,,,,,,
4/1/2021,V,13,418,418,2.317,2.317,84,71,1160,130,0.560,0.020,0.032,137.30,137.30,1.54,,8041,8041,,1104,1104,10217,10217,3361,3361,,,,,4114,4114,0.035,0.053,,,,,,,,,,,,,,,,
4/2/2021,I,10,411,410,1.983,2.030,83,81,1150,159,1.010,0.050,0.027,114.31,113.50,1.60,,2957,6053,,338,687,3492,6981,1216,2484,,,,,739,1593,0.027,0.060,,,,,,,,,,,,,,,,
4/2/2021,IV,5,523,499,1.104,1.031,81,78,984,116,0.960,0.040,0.031,85.73,78.06,1.40,,1598,2985,,137,233,2365,3993,836,1490,,,,,542,1123,0.026,0.032,,,,,,,,,,,,,,,,
4/2/2021,TOT,16,464,435,0.864,1.409,82,82,,293,,,,85.76,112.05,,,5539,18063,,475,2024,7384,22718,2571,7854,,,,,1628,5003,,,,,,,,,,,,,,,,,,
4/2/2021,V,1,527,430,0.284,1.300,81,68,1085,18,,,,0.00,122.33,,,984,9025,,,1104,1527,11744,519,3880,,,,,1345,5459,,,,,,,,,,,,,,,,,,
4/3/2021,I,10,390,404,1.978,2.013,82,82,1170,152,0.580,0.040,0.040,104.78,110.64,1.88,,2949,9002,,309,996,3307,10288,1149,3633,,,,,732,2325,0.026,0.040,,,,,,,,,,,,,,,,
